    i            x(i)           dx(i)
    1    -4.95000E+00     1.00000E-01
    2    -4.85000E+00     1.00000E-01
    3    -4.75000E+00     1.00000E-01
    4    -4.65000E+00     1.00000E-01
    5    -4.55000E+00     1.00000E-01
    6    -4.45000E+00     1.00000E-01
    7    -4.35000E+00     1.00000E-01
    8    -4.25000E+00     1.00000E-01
    9    -4.15000E+00     1.00000E-01
   10    -4.05000E+00     1.00000E-01
   11    -3.95000E+00     1.00000E-01
   12    -3.85000E+00     1.00000E-01
   13    -3.75000E+00     1.00000E-01
   14    -3.65000E+00     1.00000E-01
   15    -3.55000E+00     1.00000E-01
   16    -3.45000E+00     1.00000E-01
   17    -3.35000E+00     1.00000E-01
   18    -3.25000E+00     1.00000E-01
   19    -3.15000E+00     1.00000E-01
   20    -3.05000E+00     1.00000E-01
   21    -2.95000E+00     1.00000E-01
   22    -2.85000E+00     1.00000E-01
   23    -2.75000E+00     1.00000E-01
   24    -2.65000E+00     1.00000E-01
   25    -2.55000E+00     1.00000E-01
   26    -2.45000E+00     1.00000E-01
   27    -2.35000E+00     1.00000E-01
   28    -2.25000E+00     1.00000E-01
   29    -2.15000E+00     1.00000E-01
   30    -2.05000E+00     1.00000E-01
   31    -1.95000E+00     1.00000E-01
   32    -1.85000E+00     1.00000E-01
   33    -1.75000E+00     1.00000E-01
   34    -1.65000E+00     1.00000E-01
   35    -1.55000E+00     1.00000E-01
   36    -1.45000E+00     1.00000E-01
   37    -1.35000E+00     1.00000E-01
   38    -1.25000E+00     1.00000E-01
   39    -1.15000E+00     1.00000E-01
   40    -1.05000E+00     1.00000E-01
   41    -9.50000E-01     1.00000E-01
   42    -8.50000E-01     1.00000E-01
   43    -7.50000E-01     1.00000E-01
   44    -6.50000E-01     1.00000E-01
   45    -5.50000E-01     1.00000E-01
   46    -4.50000E-01     1.00000E-01
   47    -3.50000E-01     1.00000E-01
   48    -2.50000E-01     1.00000E-01
   49    -1.50000E-01     1.00000E-01
   50    -5.00000E-02     1.00000E-01
   51     5.00000E-02     1.00000E-01
   52     1.50000E-01     1.00000E-01
   53     2.50000E-01     1.00000E-01
   54     3.50000E-01     1.00000E-01
   55     4.50000E-01     1.00000E-01
   56     5.50000E-01     1.00000E-01
   57     6.50000E-01     1.00000E-01
   58     7.50000E-01     1.00000E-01
   59     8.50000E-01     1.00000E-01
   60     9.50000E-01     1.00000E-01
   61     1.05000E+00     1.00000E-01
   62     1.15000E+00     1.00000E-01
   63     1.25000E+00     1.00000E-01
   64     1.35000E+00     1.00000E-01
   65     1.45000E+00     1.00000E-01
   66     1.55000E+00     1.00000E-01
   67     1.65000E+00     1.00000E-01
   68     1.75000E+00     1.00000E-01
   69     1.85000E+00     1.00000E-01
   70     1.95000E+00     1.00000E-01
   71     2.05000E+00     1.00000E-01
   72     2.15000E+00     1.00000E-01
   73     2.25000E+00     1.00000E-01
   74     2.35000E+00     1.00000E-01
   75     2.45000E+00     1.00000E-01
   76     2.55000E+00     1.00000E-01
   77     2.65000E+00     1.00000E-01
   78     2.75000E+00     1.00000E-01
   79     2.85000E+00     1.00000E-01
   80     2.95000E+00     1.00000E-01
   81     3.05000E+00     1.00000E-01
   82     3.15000E+00     1.00000E-01
   83     3.25000E+00     1.00000E-01
   84     3.35000E+00     1.00000E-01
   85     3.45000E+00     1.00000E-01
   86     3.55000E+00     1.00000E-01
   87     3.65000E+00     1.00000E-01
   88     3.75000E+00     1.00000E-01
   89     3.85000E+00     1.00000E-01
   90     3.95000E+00     1.00000E-01
   91     4.05000E+00     1.00000E-01
   92     4.15000E+00     1.00000E-01
   93     4.25000E+00     1.00000E-01
   94     4.35000E+00     1.00000E-01
   95     4.45000E+00     1.00000E-01
   96     4.55000E+00     1.00000E-01
   97     4.65000E+00     1.00000E-01
   98     4.75000E+00     1.00000E-01
   99     4.85000E+00     1.00000E-01
  100     4.95000E+00     1.00000E-01
