    i            x(i)           dx(i)
    1     2.50000E-02     5.00000E-02
    2     7.50000E-02     5.00000E-02
    3     1.25000E-01     5.00000E-02
    4     1.75000E-01     5.00000E-02
    5     2.25000E-01     5.00000E-02
    6     2.75000E-01     5.00000E-02
    7     3.25000E-01     5.00000E-02
    8     3.75000E-01     5.00000E-02
    9     4.25000E-01     5.00000E-02
   10     4.75000E-01     5.00000E-02
   11     5.25000E-01     5.00000E-02
   12     5.75000E-01     5.00000E-02
   13     6.25000E-01     5.00000E-02
   14     6.75000E-01     5.00000E-02
   15     7.25000E-01     5.00000E-02
   16     7.75000E-01     5.00000E-02
   17     8.25000E-01     5.00000E-02
   18     8.75000E-01     5.00000E-02
   19     9.25000E-01     5.00000E-02
   20     9.75000E-01     5.00000E-02
   21     1.02500E+00     5.00000E-02
   22     1.07500E+00     5.00000E-02
   23     1.12500E+00     5.00000E-02
   24     1.17500E+00     5.00000E-02
   25     1.22500E+00     5.00000E-02
   26     1.27500E+00     5.00000E-02
   27     1.32500E+00     5.00000E-02
   28     1.37500E+00     5.00000E-02
   29     1.42500E+00     5.00000E-02
   30     1.47500E+00     5.00000E-02
   31     1.52500E+00     5.00000E-02
   32     1.57500E+00     5.00000E-02
   33     1.62500E+00     5.00000E-02
   34     1.67500E+00     5.00000E-02
   35     1.72500E+00     5.00000E-02
   36     1.77500E+00     5.00000E-02
   37     1.82500E+00     5.00000E-02
   38     1.87500E+00     5.00000E-02
   39     1.92500E+00     5.00000E-02
   40     1.97500E+00     5.00000E-02
   41     2.02500E+00     5.00000E-02
   42     2.07500E+00     5.00000E-02
   43     2.12500E+00     5.00000E-02
   44     2.17500E+00     5.00000E-02
   45     2.22500E+00     5.00000E-02
   46     2.27500E+00     5.00000E-02
   47     2.32500E+00     5.00000E-02
   48     2.37500E+00     5.00000E-02
   49     2.42500E+00     5.00000E-02
   50     2.47500E+00     5.00000E-02
   51     2.52500E+00     5.00000E-02
   52     2.57500E+00     5.00000E-02
   53     2.62500E+00     5.00000E-02
   54     2.67500E+00     5.00000E-02
   55     2.72500E+00     5.00000E-02
   56     2.77500E+00     5.00000E-02
   57     2.82500E+00     5.00000E-02
   58     2.87500E+00     5.00000E-02
   59     2.92500E+00     5.00000E-02
   60     2.97500E+00     5.00000E-02
   61     3.02500E+00     5.00000E-02
   62     3.07500E+00     5.00000E-02
   63     3.12500E+00     5.00000E-02
   64     3.17500E+00     5.00000E-02
   65     3.22500E+00     5.00000E-02
   66     3.27500E+00     5.00000E-02
   67     3.32500E+00     5.00000E-02
   68     3.37500E+00     5.00000E-02
   69     3.42500E+00     5.00000E-02
   70     3.47500E+00     5.00000E-02
   71     3.52500E+00     5.00000E-02
   72     3.57500E+00     5.00000E-02
   73     3.62500E+00     5.00000E-02
   74     3.67500E+00     5.00000E-02
   75     3.72500E+00     5.00000E-02
   76     3.77500E+00     5.00000E-02
   77     3.82500E+00     5.00000E-02
   78     3.87500E+00     5.00000E-02
   79     3.92500E+00     5.00000E-02
   80     3.97500E+00     5.00000E-02
   81     4.02500E+00     5.00000E-02
   82     4.07500E+00     5.00000E-02
   83     4.12500E+00     5.00000E-02
   84     4.17500E+00     5.00000E-02
   85     4.22500E+00     5.00000E-02
   86     4.27500E+00     5.00000E-02
   87     4.32500E+00     5.00000E-02
   88     4.37500E+00     5.00000E-02
   89     4.42500E+00     5.00000E-02
   90     4.47500E+00     5.00000E-02
   91     4.52500E+00     5.00000E-02
   92     4.57500E+00     5.00000E-02
   93     4.62500E+00     5.00000E-02
   94     4.67500E+00     5.00000E-02
   95     4.72500E+00     5.00000E-02
   96     4.77500E+00     5.00000E-02
   97     4.82500E+00     5.00000E-02
   98     4.87500E+00     5.00000E-02
   99     4.92500E+00     5.00000E-02
  100     4.97500E+00     5.00000E-02
  101     5.02500E+00     5.00000E-02
  102     5.07500E+00     5.00000E-02
  103     5.12500E+00     5.00000E-02
  104     5.17500E+00     5.00000E-02
  105     5.22500E+00     5.00000E-02
  106     5.27500E+00     5.00000E-02
  107     5.32500E+00     5.00000E-02
  108     5.37500E+00     5.00000E-02
  109     5.42500E+00     5.00000E-02
  110     5.47500E+00     5.00000E-02
  111     5.52500E+00     5.00000E-02
  112     5.57500E+00     5.00000E-02
  113     5.62500E+00     5.00000E-02
  114     5.67500E+00     5.00000E-02
  115     5.72500E+00     5.00000E-02
  116     5.77500E+00     5.00000E-02
  117     5.82500E+00     5.00000E-02
  118     5.87500E+00     5.00000E-02
  119     5.92500E+00     5.00000E-02
  120     5.97500E+00     5.00000E-02
  121     6.02500E+00     5.00000E-02
  122     6.07500E+00     5.00000E-02
  123     6.12500E+00     5.00000E-02
  124     6.17500E+00     5.00000E-02
  125     6.22500E+00     5.00000E-02
  126     6.27500E+00     5.00000E-02
  127     6.32500E+00     5.00000E-02
  128     6.37500E+00     5.00000E-02
  129     6.42500E+00     5.00000E-02
  130     6.47500E+00     5.00000E-02
  131     6.52500E+00     5.00000E-02
  132     6.57500E+00     5.00000E-02
  133     6.62500E+00     5.00000E-02
  134     6.67500E+00     5.00000E-02
  135     6.72500E+00     5.00000E-02
  136     6.77500E+00     5.00000E-02
  137     6.82500E+00     5.00000E-02
  138     6.87500E+00     5.00000E-02
  139     6.92500E+00     5.00000E-02
  140     6.97500E+00     5.00000E-02
  141     7.02500E+00     5.00000E-02
  142     7.07500E+00     5.00000E-02
  143     7.12500E+00     5.00000E-02
  144     7.17500E+00     5.00000E-02
  145     7.22500E+00     5.00000E-02
  146     7.27500E+00     5.00000E-02
