               t             u(1)             u(2)             u(3)             u(4)             u(5)             u(6)             u(7)             u(8)             u(9)            u(10)            u(11)            u(12)            u(13)            u(14)            u(15)            u(16)            u(17)            u(18)            u(19)            u(20)            u(21)            u(22)            u(23)            u(24)            u(25)            u(26)            u(27)            u(28)            u(29)            u(30)            u(31)            u(32)            u(33)            u(34)            u(35)            u(36)            u(37)            u(38)            u(39)            u(40)            u(41)            u(42)            u(43)            u(44)            u(45)            u(46)            u(47)            u(48)            u(49)            u(50)            u(51)            u(52)            u(53)            u(54)            u(55)            u(56)            u(57)            u(58)            u(59)            u(60)            u(61)            u(62)            u(63)            u(64)            u(65)            u(66)            u(67)            u(68)            u(69)            u(70)            u(71)            u(72)            u(73)            u(74)            u(75)            u(76)            u(77)            u(78)            u(79)            u(80)            u(81)            u(82)            u(83)            u(84)            u(85)            u(86)            u(87)            u(88)            u(89)            u(90)            u(91)            u(92)            u(93)            u(94)            u(95)            u(96)            u(97)            u(98)            u(99)           u(100) 
    1.00000E-002     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     9.89670E-001     9.65097E-001     9.39847E-001     9.14784E-001     8.89725E-001     8.64662E-001     8.39599E-001     8.14536E-001     7.89474E-001     7.64411E-001     7.39348E-001     7.14286E-001     6.89223E-001     6.64160E-001     6.39098E-001     6.14035E-001     5.88972E-001     5.63910E-001     5.38847E-001     5.13784E-001     4.88722E-001     4.63659E-001     4.38596E-001     4.13534E-001     3.88471E-001     3.63409E-001     3.38346E-001     3.13283E-001     2.88221E-001     2.63158E-001     2.38095E-001     2.13033E-001     1.87970E-001     1.62907E-001     1.37845E-001     1.12782E-001     8.77193E-002     6.26566E-002     3.75940E-002     1.25313E-002    -1.25313E-002    -3.75940E-002    -6.26566E-002    -8.77193E-002    -1.12782E-001    -1.37845E-001    -1.62907E-001    -1.87970E-001    -2.13033E-001    -2.38095E-001    -2.63158E-001    -2.88221E-001    -3.13283E-001    -3.38346E-001    -3.63409E-001    -3.88471E-001    -4.13533E-001    -4.38593E-001    -4.63746E-001    -4.88609E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001 
    5.00000E-002     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     9.95470E-001     9.75811E-001     9.49647E-001     9.24013E-001     8.98727E-001     8.73420E-001     8.48101E-001     8.22785E-001     7.97468E-001     7.72152E-001     7.46835E-001     7.21519E-001     6.96203E-001     6.70886E-001     6.45570E-001     6.20253E-001     5.94937E-001     5.69620E-001     5.44304E-001     5.18987E-001     4.93671E-001     4.68354E-001     4.43038E-001     4.17722E-001     3.92405E-001     3.67089E-001     3.41772E-001     3.16456E-001     2.91139E-001     2.65823E-001     2.40506E-001     2.15190E-001     1.89873E-001     1.64557E-001     1.39241E-001     1.13924E-001     8.86076E-002     6.32911E-002     3.79747E-002     1.26582E-002    -1.26582E-002    -3.79747E-002    -6.32911E-002    -8.86076E-002    -1.13924E-001    -1.39241E-001    -1.64557E-001    -1.89873E-001    -2.15190E-001    -2.40506E-001    -2.65823E-001    -2.91139E-001    -3.16456E-001    -3.41772E-001    -3.67089E-001    -3.92405E-001    -4.17708E-001    -4.43074E-001    -4.68869E-001    -4.92343E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001 
    9.00000E-002     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     9.99999E-001     1.00001E+000     9.97936E-001     9.85507E-001     9.60136E-001     9.33567E-001     9.07877E-001     8.82354E-001     8.56781E-001     8.31202E-001     8.05626E-001     7.80051E-001     7.54476E-001     7.28900E-001     7.03325E-001     6.77749E-001     6.52174E-001     6.26598E-001     6.01023E-001     5.75448E-001     5.49872E-001     5.24297E-001     4.98721E-001     4.73146E-001     4.47570E-001     4.21995E-001     3.96419E-001     3.70844E-001     3.45269E-001     3.19693E-001     2.94118E-001     2.68542E-001     2.42967E-001     2.17391E-001     1.91816E-001     1.66240E-001     1.40665E-001     1.15090E-001     8.95141E-002     6.39386E-002     3.83632E-002     1.27877E-002    -1.27877E-002    -3.83632E-002    -6.39386E-002    -8.95141E-002    -1.15090E-001    -1.40665E-001    -1.66240E-001    -1.91816E-001    -2.17391E-001    -2.42967E-001    -2.68542E-001    -2.94118E-001    -3.19693E-001    -3.45269E-001    -3.70846E-001    -3.96416E-001    -4.21961E-001    -4.47771E-001    -4.74173E-001    -4.94939E-001    -5.00001E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001 
    1.30000E-001     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     9.99993E-001     1.00005E+000     9.99022E-001     9.92268E-001     9.70888E-001     9.43686E-001     9.17237E-001     8.91443E-001     8.65641E-001     8.39795E-001     8.13953E-001     7.88114E-001     7.62274E-001     7.36434E-001     7.10594E-001     6.84755E-001     6.58915E-001     6.33075E-001     6.07235E-001     5.81395E-001     5.55556E-001     5.29716E-001     5.03876E-001     4.78036E-001     4.52196E-001     4.26357E-001     4.00517E-001     3.74677E-001     3.48837E-001     3.22997E-001     2.97158E-001     2.71318E-001     2.45478E-001     2.19638E-001     1.93798E-001     1.67959E-001     1.42119E-001     1.16279E-001     9.04393E-002     6.45995E-002     3.87597E-002     1.29199E-002    -1.29199E-002    -3.87597E-002    -6.45995E-002    -9.04393E-002    -1.16279E-001    -1.42119E-001    -1.67959E-001    -1.93798E-001    -2.19638E-001    -2.45478E-001    -2.71318E-001    -2.97158E-001    -3.22997E-001    -3.48838E-001    -3.74680E-001    -4.00500E-001    -4.26323E-001    -4.52706E-001    -4.79368E-001    -4.96619E-001    -5.00004E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001 
    1.70000E-001     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     9.99999E-001     1.00000E+000     9.99981E-001     1.00008E+000     9.99562E-001     9.95952E-001     9.80952E-001     9.54406E-001     9.26978E-001     9.00693E-001     8.74673E-001     8.48572E-001     8.22454E-001     7.96344E-001     7.70235E-001     7.44125E-001     7.18016E-001     6.91906E-001     6.65796E-001     6.39687E-001     6.13577E-001     5.87467E-001     5.61358E-001     5.35248E-001     5.09138E-001     4.83029E-001     4.56919E-001     4.30809E-001     4.04700E-001     3.78590E-001     3.52480E-001     3.26371E-001     3.00261E-001     2.74151E-001     2.48042E-001     2.21932E-001     1.95822E-001     1.69713E-001     1.43603E-001     1.17493E-001     9.13838E-002     6.52742E-002     3.91645E-002     1.30548E-002    -1.30548E-002    -3.91645E-002    -6.52742E-002    -9.13838E-002    -1.17493E-001    -1.43603E-001    -1.69713E-001    -1.95822E-001    -2.21932E-001    -2.48042E-001    -2.74151E-001    -3.00261E-001    -3.26371E-001    -3.52482E-001    -3.78593E-001    -4.04660E-001    -4.30830E-001    -4.57844E-001    -4.84111E-001    -4.97703E-001    -5.00010E-001    -4.99999E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001 
    2.00000E-001     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     9.99998E-001     1.00001E+000     9.99973E-001     1.00008E+000     9.99796E-001     9.97481E-001     9.87094E-001     9.62634E-001     9.34645E-001     9.07778E-001     8.81549E-001     8.55276E-001     8.28950E-001     8.02631E-001     7.76316E-001     7.50000E-001     7.23684E-001     6.97368E-001     6.71053E-001     6.44737E-001     6.18421E-001     5.92105E-001     5.65789E-001     5.39474E-001     5.13158E-001     4.86842E-001     4.60526E-001     4.34211E-001     4.07895E-001     3.81579E-001     3.55263E-001     3.28947E-001     3.02632E-001     2.76316E-001     2.50000E-001     2.23684E-001     1.97368E-001     1.71053E-001     1.44737E-001     1.18421E-001     9.21053E-002     6.57895E-002     3.94737E-002     1.31579E-002    -1.31579E-002    -3.94737E-002    -6.57895E-002    -9.21053E-002    -1.18421E-001    -1.44737E-001    -1.71053E-001    -1.97368E-001    -2.23684E-001    -2.50000E-001    -2.76316E-001    -3.02631E-001    -3.28947E-001    -3.55267E-001    -3.81579E-001    -4.07836E-001    -4.34327E-001    -4.61795E-001    -4.87228E-001    -4.98267E-001    -5.00020E-001    -4.99998E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001 
    2.40000E-001     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     9.99996E-001     1.00001E+000     9.99967E-001     1.00006E+000     9.99982E-001     9.98695E-001     9.92719E-001     9.73371E-001     9.45398E-001     9.17539E-001     8.90860E-001     8.64368E-001     8.37776E-001     8.11170E-001     7.84574E-001     7.57979E-001     7.31383E-001     7.04787E-001     6.78191E-001     6.51596E-001     6.25000E-001     5.98404E-001     5.71809E-001     5.45213E-001     5.18617E-001     4.92021E-001     4.65426E-001     4.38830E-001     4.12234E-001     3.85638E-001     3.59043E-001     3.32447E-001     3.05851E-001     2.79255E-001     2.52660E-001     2.26064E-001     1.99468E-001     1.72872E-001     1.46277E-001     1.19681E-001     9.30851E-002     6.64894E-002     3.98936E-002     1.32979E-002    -1.32979E-002    -3.98936E-002    -6.64894E-002    -9.30851E-002    -1.19681E-001    -1.46277E-001    -1.72872E-001    -1.99468E-001    -2.26064E-001    -2.52660E-001    -2.79255E-001    -3.05851E-001    -3.32447E-001    -3.59049E-001    -3.85627E-001    -4.12156E-001    -4.39166E-001    -4.67155E-001    -4.90668E-001    -4.98805E-001    -5.00039E-001    -4.99995E-001    -5.00001E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001 
    2.80000E-001     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     9.99999E-001     1.00000E+000     9.99994E-001     1.00002E+000     9.99969E-001     1.00003E+000     1.00007E+000     9.99381E-001     9.95907E-001     9.82779E-001     9.56567E-001     9.27813E-001     9.00388E-001     8.73623E-001     8.46793E-001     8.19896E-001     7.93009E-001     7.66129E-001     7.39247E-001     7.12366E-001     6.85484E-001     6.58602E-001     6.31720E-001     6.04839E-001     5.77957E-001     5.51075E-001     5.24194E-001     4.97312E-001     4.70430E-001     4.43548E-001     4.16667E-001     3.89785E-001     3.62903E-001     3.36022E-001     3.09140E-001     2.82258E-001     2.55376E-001     2.28495E-001     2.01613E-001     1.74731E-001     1.47849E-001     1.20968E-001     9.40860E-002     6.72043E-002     4.03226E-002     1.34409E-002    -1.34409E-002    -4.03226E-002    -6.72043E-002    -9.40860E-002    -1.20968E-001    -1.47849E-001    -1.74731E-001    -2.01613E-001    -2.28495E-001    -2.55376E-001    -2.82258E-001    -3.09139E-001    -3.36023E-001    -3.62912E-001    -3.89752E-001    -4.16597E-001    -4.44223E-001    -4.72522E-001    -4.93256E-001    -4.99179E-001    -5.00060E-001    -4.99991E-001    -5.00002E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001 
    3.20000E-001     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     9.99999E-001     1.00000E+000     9.99992E-001     1.00002E+000     9.99980E-001     9.99993E-001     1.00010E+000     9.99769E-001     9.97723E-001     9.89698E-001     9.67670E-001     9.38688E-001     9.10257E-001     8.83044E-001     8.55990E-001     8.28818E-001     8.01630E-001     7.74455E-001     7.47283E-001     7.20109E-001     6.92935E-001     6.65761E-001     6.38587E-001     6.11413E-001     5.84239E-001     5.57065E-001     5.29891E-001     5.02717E-001     4.75543E-001     4.48370E-001     4.21196E-001     3.94022E-001     3.66848E-001     3.39674E-001     3.12500E-001     2.85326E-001     2.58152E-001     2.30978E-001     2.03804E-001     1.76630E-001     1.49457E-001     1.22283E-001     9.51087E-002     6.79348E-002     4.07609E-002     1.35870E-002    -1.35870E-002    -4.07609E-002    -6.79348E-002    -9.51087E-002    -1.22283E-001    -1.49457E-001    -1.76630E-001    -2.03804E-001    -2.30978E-001    -2.58152E-001    -2.85326E-001    -3.12499E-001    -3.39678E-001    -3.66855E-001    -3.93959E-001    -4.21186E-001    -4.49490E-001    -4.77684E-001    -4.95116E-001    -4.99447E-001    -5.00076E-001    -4.99985E-001    -5.00004E-001    -4.99999E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001 
    3.60000E-001     1.00000E+000     1.00000E+000     1.00000E+000     1.00000E+000     9.99998E-001     1.00000E+000     9.99992E-001     1.00001E+000     9.99994E-001     9.99970E-001     1.00008E+000     9.99983E-001     9.98801E-001     9.93989E-001     9.77887E-001     9.50052E-001     9.20623E-001     8.92681E-001     8.65356E-001     8.37935E-001     8.10444E-001     7.82965E-001     7.55494E-001     7.28022E-001     7.00549E-001     6.73077E-001     6.45604E-001     6.18132E-001     5.90659E-001     5.63187E-001     5.35714E-001     5.08242E-001     4.80769E-001     4.53297E-001     4.25824E-001     3.98352E-001     3.70879E-001     3.43407E-001     3.15934E-001     2.88462E-001     2.60989E-001     2.33516E-001     2.06044E-001     1.78571E-001     1.51099E-001     1.23626E-001     9.61538E-002     6.86813E-002     4.12088E-002     1.37363E-002    -1.37363E-002    -4.12088E-002    -6.86813E-002    -9.61538E-002    -1.23626E-001    -1.51099E-001    -1.78571E-001    -2.06044E-001    -2.33516E-001    -2.60989E-001    -2.88461E-001    -3.15934E-001    -3.43414E-001    -3.70879E-001    -3.98258E-001    -4.25952E-001    -4.54923E-001    -4.82402E-001    -4.96440E-001    -4.99644E-001    -5.00083E-001    -4.99979E-001    -5.00006E-001    -4.99999E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001    -5.00000E-001 
