     i           x(i)          dx(i)
     1   -9.50000E-01    1.00000E-01
     2   -8.50000E-01    1.00000E-01
     3   -7.50000E-01    1.00000E-01
     4   -6.50000E-01    1.00000E-01
     5   -5.50000E-01    1.00000E-01
     6   -4.50000E-01    1.00000E-01
     7   -3.50000E-01    1.00000E-01
     8   -2.50000E-01    1.00000E-01
     9   -1.50000E-01    1.00000E-01
    10   -5.00000E-02    1.00000E-01
    11    5.00000E-02    1.00000E-01
    12    1.50000E-01    1.00000E-01
    13    2.50000E-01    1.00000E-01
    14    3.50000E-01    1.00000E-01
    15    4.50000E-01    1.00000E-01
    16    5.50000E-01    1.00000E-01
    17    6.50000E-01    1.00000E-01
    18    7.50000E-01    1.00000E-01
    19    8.50000E-01    1.00000E-01
    20    9.50000E-01    1.00000E-01
